polarity,text
1,"here are my top 8 things I own and love and swear by at uni girl. anything they have heat tuck. don't realize how good this is when you don't have it and it's cold. if you're in a cold place, please try a heat tuck item. I think these bags may have gone viral, but for a good reason. it's light, spacious, reasonable, and easy to style. the unikuro light down jackets are amazing and it fits in these little bags. I have 3 colors of these of fuzzy jackets. they're so soft. this is what I wore my entire trip in Japan. the black one to be exact. dress it up or down, super warm. I'm a blazer girly and I love unikuro blazers. they're reasonable and structured. I also have like 3 colors of this slip dress and anything airism. t shirts, leggings. it breathes amazingly as a little bonus. I love this unikuro technology. you put it in it immediately recognize what you have and you can check out."
0,"I'm waiting in the club to find a bag search. Okay, I found the bags."
0,What I wore to uni for my last week of classes
1,"Let's check out the fall launch at Uniqlo. We were invited to get a sneak peek of some of the new items. Definitely seeing a lot of vibrant colors, and I was very pleasantly surprised to see so many new styles and colors for men's stuff. I feel like it's really hard to shop for men because there's just not that many options, but I really like all of these jackets from Uniqlo. I'm definitely getting one for Cliff. For women, there's definitely an emphasis on comfort because there are so many cozy materials. They also introduced a super light Heattech, which is even thinner than their regular Heattech, meant for layering. I'm also definitely eyeing their outerwear, like this white wool coat and as well as their puffer jacket, which now comes in a new nano design which makes them super lightweight."
0,"Can you custom your own t-shirt? Hi guys, so this time I'm walking to Uniqlo to accompany my friend. I want to buy t-shirts, but you can custom them here. You can directly draw on the spot or you can also send your own design. In addition to t-shirts, tote bags can also be custom. While waiting for my friend to cross out,. I went around and I found this kind of clava reinforcements, besides the discount anyway. It was really funny but when I tried it like Anjay frog there was zip up,. Marnie hoodie was also nice, but not discounted. Skip first, there is a pure cardigan too. But I think it's too cake for the cave. Well actually this is what I'm looking for only the color is dusty pink. What I want is the gray color if used is good. So he was like a tashirt, just folded on top. This is the next time I find Guruka Shorts. This is the first time I found a uniqlo item that is not basic. This is the long version. If this one is good, but not used in Jakarta. Finally I decided to buy Marni chants. And it turned out that when I tried the fit it was steady too. Long story short because it was too late it turned out that the t-shirt could not be directly so today as well. I don't want to come here again tomorrow. Drunk? Drunk."
1,"I have a meeting with one of my favorite brands this morning, so we need to pick an outfit. It's Uniqlo. It's a little bit cooler today, so I'm going for these linen trousers from Uniqlo. I love these. Super comfortable, also super lightweight. Add a bit of contrast. I'm gonna go for this Uniqlo tea. This is part of their aerism collection, so it's great for, like, hot weather and stuff like that. Black and white cream combo is always a good idea. And I love how this tea sits. I like the long length of the sleeves. It's very cool. A little bit different from your average T-shirt. I'm then gonna add my Adia Specielles just to tighten the black, so it all looks like a nice outfit. Sandwich. The perfume,. I'm gonna go for this coach one again. I never remember what this one's called. Story. Again, today is Missouri. Since we're going with the Uniqlo theme,. I'm just gonna add this Uniqlo bag for a little bit of a cool vibe. Forever and always my favourite sunnies. And that is the fit for today. I'm off to a meeting. I will see you all tomorrow. Bye."
1,Unicorn Fossil just arrived which is very exciting because I basically did a little order of like capsule classics for summer and also for all year around all seasons but I'm gonna style them up for summer and hopefully they fit. I haven't actually tried anything on yet so hopefully they work hopefully I can style them different ways that I kind of envisioned in my head when I did this order but let's get styling and it trying on and then you guys can let me know your thoughts first up these little elasticated waist like boxer styled shorts so these are definitely a love it or hate it kind of thing because I actually think they might b boy boxes. I don't know like when I ordered them online they were I thought in the women's section but they were recommended and I was like. I've been on the hunt for a pair of shorts like this for so long to style with like blazers and little vests and then of colour trainers and bags particularly like how I'm styling now for like city days out where I wanna be really comfortable and I'm just going for like coffee catch UPS with my girls and it's really warm and I want to feel like put together but also just want to be really really comfortable and I feel like this is how I would style it at the moment. I also do really want a white pair of these but they were like completely be sold out overall really stretchy really comfortable not see through like at all and I feel like. I'm gonna wear these lots of different ways then I got a few errors and tops so these are like naturally oversized and went for an extra small of them and I feel like they have the perfect fit. I'll show you like untucked in a sec as well but then I got these trousers. I cannot remember for the life of me the name of them. I think they're called like tailored cotton trousers maybe and I was very unsure about sizing of these of what they'd be like on me but this is the extra small and oh my God they fit like a dream. I'm gonna have to get them in all like every color like what the length of. I'm 5 foot 3 and no trousers ever fit me like lengthwise and the fit around my waist as well it's just so perfect and really soft and comfortable these might be some of the best tether trousers I've ever tried on and the fact that I don't have to get them taken in like game changing this is the top so Jamie my boyfriend has like all the men's versions of these and I was like. I don't know why I've never tried the women's set of these. I really like the shape. I like the long sleeves they feel like really really amazing quality and I got a few other colours so let's try this on and this is the white tea so again just exactly the same went for an extra small and I just started with the trousers little bag and my dad's sandals for like a city day out but the tea. I just really love the shape of. I'd also maybe just wear it like that. I'm obsessed next up I got the tea in this like peachy color which I actually thought was gonna wash me out but I think cause I fake tanned it's quite nice and I saw that these linen trousers were like trending last week and I have wanted a pair that fit me lengthwise and again I read that they do fit very well on like if you're 5 foot 4 and under and guys what this is the best order I've ever done like everything fits like I swear when usually I order from somewhere nothing fits and it's all a little bit hit and miss but the fit of these. I went for extra small again in them fit true to size. I feel really beautiful on they're like a linen blend thinking of styling with this bag and then my Ray Bans and dad sandals like a city day out kind of outfit these come in multiple colors as well so do all the T's. I'm gonna leave everything linked to my bio but I'm gonna have to go and buy now different colors potentially because the T's are so amazing let me know which look was your favorite and I will see you guys soon lots of love mwah bye
0,"I know it's been a while, but I was just thinking about you and"
1,since the fit was a little bit too wide for me some first impressions of the pants hello hello welcome to my channel so I made sure to kind of like cinch the crotch area so I had to go get them tailored at the local alterations location you know upscale for work. I think the tag said that it was a mixed polyester and rayon recently for Valentine's Day if you like the content anyone who's looking for a casual fit or something for a little bit thank you Kim. I would definitely say that these pants are great for you know so I'm giving a quick review of the uniqlo pants that my girlfriend got me and make the length a little bit shorter and make the tubes a little bit smaller the fabric was really soft so there was a good bit of weight to it they're really versatile for me definitely they were really high quality and here's a little bit of me wearing the pants when it was at the tailor. I think they're a little bit too big for me when I first got them see it was a little too long alright bye a little caveat with the pants subscribe for more
0,"Right, so I did it. I was. I have been influenced, but I think this is a good influence, cause it's not like this is something that's gonna, like, fade out. I don't think. I bought the Uniqlo bag and like,. I was a little bit annoyed, but I just posted you guys like 4 from you so that's the object anyway. I want to see how much I can fit in it. I'm gonna use books and measure how many books I can fit in there so. I have bookshelf here. I'm gonna go through a few little books that I've read you can heal your life sorry it's backwards I need to read that again. I saw a video of a girl putting a whole champagne bottle in and I got the wrong one because we got one book let's go Atomic Habit Atomic Habit start looking good guys. I think that's it. I mean I suppose the videos that people are doing they're like putting little things in there maybe books isn't a good way to measure who's walking around with loads of books but oh my god right random things I'm finding in my dad's office a bag of unopened marbles my microphone. I hope this is not on I was not on its enclosure okay maybe a little we can do a little book actually I want. I love this book this is called The Power of now and I even saved some pages want To be able to fit my Kindle in there. Right. Okay. I don't have anything else to fit in there, but maybe this is a really rubbish for you. Sorry. Uniqlo. I do think it's a good bag. It doesn't fit more than 2 books in there. So it needs to walk around with 2 books. Not me. Why was this. Sorry. Maybe I'll do a better video when I actually fill it with stuff that I actually. I'm gonna take out with me. But I got it in black, and now I want it in all of the colors."
