text,polarity
don’t make my mistake  #Destinationdepop #sheinhaul #sheinfail #blackgirltiktok #DoritosDuetRoulette #thrifting,-1.0
Minimal look today mixing billionaire boys club Zara and Adidas in a Fear of God #F#FoGype look #o#ootdg#gdwmg#grwms#streetstyles#sneakerheadr#retrosneakersz#zarab#bbcy#yohjiyamamoto,0.0
#autism#meme#fyp#ralphlauren  ,0.0
Any girl that says they ain’t stolen is cap #girls #primark #jta ,0.0
Tik tok took this down so please hype it up again HAPPY FRIDAY!!! #momsoftiktok #toddlersoftiktok #dayinmylife #minivlog #aesthetic #satisfying #asmr #asmrmorningroutine #wfhmom #sahm #AmazonSavingSpree #petsmart #trending #viral #youngmom #momandson #productivity #motivation #mommotivation #fitness #grwm #hairtok #hestlesscurls #viralheatlesscurls #lululemon #skims mom self care morning routine becoming that mom morning routine mom morning routine with kids school productive morning routine as a mom early morning routine working mom 5am working mom morning routine morning routine for school mom grwm morning routine mom,1.0
@SHEIN genuinely confused #sheinfail #fail #false,-1.0
✨HAUL✨ #fyp #haul #subdued #uniqlo #sephora ,1.0
"3 reasons I never buy SHEIN, even second hand: 1. They abuse people 2. They abuse the environment 3 Poor quality, mostly made of polyester #boycottshein #notofastfashion #sustainableliving ",-1.0
oops #fyp #haul #shein #sheinhaul #tryon,0.0
They just look so #pinkpilatesprincess  #coquette #pink #lululemon #strawberrymilkshake #definejacket #lululemondefinejacket #coquetteaesthetic #wonyoung ,1.0
"Always think about where the clothes you’re buying come from, what materials they are made of and where they are produced. If the item is super cheap then that should be the first red flag#fiberart #boycottshein ",-1.0
wtf man    #greenscreen #hamster #squishy #thisiswhatigot #shein #boycott #boycottshein ,-1.0
Gamechanger when picking out clothes at Zara #fashionhacks #stylehacks #shoppinghacks #styletips #lifehacks #lifetips #styletiktok #learnontiktok #zara #zaratok ,1.0
please take slow fashion into consideration. #fastfashionshouldend #slowfashion #zara  #shein #romwe #shekou,-1.0
GWRM wearing my new @prettylittlething edit  Blue set: CNG7494 / CNG7492 #prettylittlething a d,1.0
Part 2 coming... #vlog #minivlog #dailyvlog #dayinthelife #dayinmylife #lululemon #shopping #shoppinghaul #fashion #athlete,0.0
its so muchstay stunned for part 2!!#foryou #sheinhaul #backtoschool #shopping #shein #haul ,1.0
day in the life #dayinthelife #events #prettylittlething #musical #pressnight #viral #london,0.0
the complete opposite of what i ordered #zarafail #zara #orderingonlinefails,-1.0
Comes in cream and red too #zaradress #offshoulder #zarahaul #zara #blackdress ,1.0
"Y’all know I love some good Shein finds, but really, what are these?? Also is anyone else an over thinker like me??  #sheinfail",-1.0
this man is so spoiled #sugarmama #sugarmamaintraining #splendamama #manhattan #nyc #proposal #muji #uniqlo #summitonevanderbilt #joke #satire,1.0
I can’t with this #fashionnova #prettylittlething #nastygyal #tryonhaul #fail #GossipGirlHere #fashionfail #plussize #bbw,-1.0
Does the US have this yet? #japan #japantiktok #japanese #tokyo #japanlife #shopping #gu #uniqlo #shopwithme #fyp #おすすめ #おすすめにのりたい,0.0
This place isn’t built for curves like mine. #midsize #lululemonfail,-1.0
Weirdest ZARA top  #zaratryonhaul #zarafail #zarafails #wearherstyle #budapest,-1.0
Obsessed with this fit! Check out @alicex50 ‘s video to see what I got her #plthaul #outfitswap #plt #openpackageswithme #prettylittlething #fyp,1.0
Bible of the Lords  Follow for More #ralphlauren #outfitoftheday #OOTD #dripcheck #outfitsoftheweek ,0.0
@ZARA - what do you have to say for yourself? #boycottzara #boycott #palestine #freepalestine #fyp ,-1.0
Obsessed #foryoupage #StopScammerTime #primark #primarkhaul #fashion #shopping #boots #autumfashion ,1.0
SHEIN haul - plus size… kæmpe fail  #shein#sheinhaul#fail#sheinfail#haul#tryonhaul#failvideo#plussize#plussizeedition#plussizefashion  ,-1.0
Mood bc its my birthday  #prettylittlething set ,1.0
stages of that uniqlo shirt #fyp #fypシ #uniqlo #uniqloholidayshoppingfestival #college ,0.0
my opinion #foryou #shein #outfit #fashion #clothes #joke #pinterestoutfit #outftitinspo #style #OOTD #aesthetic #fallfashion #fitcheck #sheinhaul #fashiontrends #trending #viral #fypシ ,0.0
"oh so cute  i’m wearing size 140, fits like a cute crop top ☺️ #mofusand #mofusandさん #uniqlo #sanrio ",1.0
"My boyfriend’s little cousin ordered clothes from SHEIN @SHEIN and mutiple tags include “need your help” and “please help me” this is absolutely not normal and definitely confirms the allegations of child labor, tr@ffiçking, r&p3, and multiple forms of @bu$e. This isnt the first time this has happened either, people have recieved shein packages with actual hand written notes asking for help. #BOYCOTTSHEIN #BOYCOTTSHEINKIDS #SHEINABUSE please stop buying from shein!! This isnt the first time this has happened.",-1.0
CHRISTMAS HAUL #christmashaul #xmas #haul #haultok #xmashaul #christmas2021 #nike #lululemon #drybar #glossier #pinkgasm #fyp #xmaslist,0.0
The designer Ralph Lauren and his brand #ralphlauren #fashion #fashiondesigner #model #catwalk #runway ,0.0
DIY Tie Up Jeans  #thriftflip #prettylittlething #fyp,0.0
Rate the Ralph ☺️ Follow for More #ralphlauren #outfitoftheday #dripcheck #outfitsoftheweek ,1.0
Am I the only one that’s not obsessed with Zara? Don’t even get me started on the dressing room lines  #zarafail #zara #shopping #affordablefashion ,-1.0
And I wouldn’t do anything different!  Follow for more#ralphlauren #outfitoftheday #OOTD #dripcheck #outfitsoftheweek,1.0
A follow goes a long way#greenscreen #got2bStyled #whoeverhas #MakeTheLeap #whileyouwerebusy #PUMARemix #lulu #fyp #foryou #lululemon #viral #lululu,0.0
I should just shop in their kids department because xs doesn’t exist for their women’s #zara #zarafail #petite #petitefashion #tryonhaul ,-1.0
have you guys seen these? ⚡️ #glow #glowrecipe #glowrecipeproducts #glowrecipenewproduct #bronzingdrops #sephora #leaked #leakedproduct   #preppy #grwm #grwms #preppyaesthetic #preppylifestyle #preppyoutfits #pinkpalmpuff #zara #zarajeans #zarajeans #collab #skincare #grwmacc #haul #haulacc #lido #lidoisland #lidoislandliving #urvine #urvinespectrum #colorful #colorfuloutfit #colorfuloutfits #ootd #ootds #ootdfashion #ootdinspiration #ootn #ootdinspo #outfitoftheweek #outfitoftheday #outfitofthenight #converse #conversehigh #matching #rollerrabbitpajamas ,0.0
#DC799 Code 63 #wholesalesupplier✈ #readytowear #foryou #formepage #fypシ #မြန်မာဝတ်စုံလှလှလေး #surprisegift #DC799 #tittokmyanmar2022 #prettylittlething #smartpeople #Beauty #fashion #dc799,0.0
